item_id;description;description_2;group_description;unit_sale_price (CLP);cost (CLP);storage_cost (CLP);leadtime (days);stock;size_m3;cost_per_purchase
1701;meloxivet 60 ml;analgesico;medicamentos;14900.0;10347;28;9.0;2.0;0.0002;500
1489;le salon cortauñas alicate ergonomico;grooming;accesorios;15990.0;11666;34;9.0;0.0;0.001;500
921;comedero interactivo garra marrón y azúl;juguetes;accesorios;20030.0;13145;49;10.0;0.0;0.004;500
275;revolution perro 5-10 kg;ant. ext.;medicamentos;18700.0;12413;35;7.0;2.0;0.0002;500
416;royal canin baby cat milk 300gr;suplementos;alimento;18450.0;13913;55;6.0;1.0;0.015;2850
1655;honey h-harness medium;paseo;accesorios;16900.4;11106;36;9.0;1.0;0.001;550
247;capa polar c/chiporro t-s (1)  a. doctor;ropa;accesorios;6550.0;4447;14;9.0;1.0;0.001;500
383;zeus nosh hueso duro sabor tocino l;juguetes;accesorios;12990.0;8638;31;7.0;2.0;0.004;950
322;afp dog sparkle cepillo dedo/pasta;juguetes;accesorios;14490.0;10920;30;6.0;5.0;0.001;500
203;zeus collar ajustable xl azul denim;paseo;accesorios;6670.0;4406;17;9.0;1.0;0.004;500
873;zeedog prisma h-harness small;paseo;accesorios;13850.0;9156;34;10.0;0.0;0.004;1050
1111;brit mono protein turkey & sweet potato 400 g;latas;alimento;3600.0;2494;11;3.0;0.0;0.015;2050
1303;revolution gato 2.5-7.5 kg;ant. ext.;medicamentos;14990.0;11826;28;7.0;6.0;0.0002;500
352;coastal new earth collar de soya menta xs;paseo;accesorios;9190.0;7209;19;7.0;0.0;0.001;500
1617;tetra goldfish flakes, 100 ml - 20 gr;acc acuarios;accesorios;2910.0;2198;6;5.0;2.0;0.001;500
575;capa arnè talla 2 cata pets;ropa;accesorios;14480.0;9604;35;10.0;0.0;0.004;600
1868;kit acuario;hogar-transporte;accesorio;119990.0;82370;570;;;;500
479;coastal style collar teal purple diamonds s;paseo;accesorios;7990.0;5318;17;9.0;2.0;0.001;500
942;bravery chicken mini puppy small breeds 2 kg;cachorros;alimento;16990.0;11652;52;8.0;9.0;0.015;1600
1255;fancy feast terrine pollo 85 g;latas;alimento;900.0;691;3;5.0;6.0;0.015;3400
305;pro plan kitten 7,5kg ar;cachorros;alimento;63900.0;49291;193;16.0;0.0;0.015;1450
514;simparica 40 mg  x 3 tab. 10,1 - 20 k;ant. ext.;medicamentos;24580.0;18258;46;8.0;4.0;0.0002;500
1189;parka t/3 cata pets;ropa;accesorios;18890.0;15078;46;8.0;0.0;0.004;500
1301;zeus arnes fig.a  m  azuldenim;paseo;accesorios;10990.0;7710;23;7.0;0.0;0.001;500
529;zd midnight adjustable air mesh harness medium;paseo;accesorios;23900.0;16634;50;12.0;0.0;0.001;500
620;feline  i/d  lata x 156gr;latas medicadas;alimento;7720.0;5800;24;7.0;51.0;0.015;1300
1766;bliss collar small;paseo;accesorios;9900.0;6451;25;7.0;2.0;0.004;500
366;cordon amarre 8 mm a. doctor;paseo;accesorios;5190.0;3523;11;8.0;1.0;0.001;500
1509;poo bolsas compostables 60 u;higiene;accesorio;6990.0;4822;14;2.0;11.0;0.001;500
1105;coastal sublime trailla chevrons/navy;paseo;accesorios;19590.0;13487;41;7.0;1.0;0.001;600
764;zd army green cat collar;paseo;accesorios;4900.0;3506;10;9.0;0.0;0.001;500
394;pawise pasto sanitario 43 x 67 cm;higiene;accesorios;45990.0;34877;96;13.0;0.0;0.001;1200
1791;belcando búfalo de agua 400 gr;humedo;alimento;5590.0;3722;12;;;;500
464;royal canin intense hairball 1,5kg;adultos;alimento;13980.0;10190;42;5.0;2.0;0.015;1950
1054;zeedog prisma h-harness extra small;paseo;accesorios;11860.0;8667;25;9.0;1.0;0.001;500
946;collar gatos;paseo;accesorios;2990.0;2174;6;5.0;0.0;0.001;500
1498;bravery salmon mini adult small breeds 2 kg;adultos;alimento;18990.0;12833;57;7.0;2.0;0.015;1600
1860;small bird diet 1 kg;adultos;alimento;16990.0;12214;36;;;;500
1107;dispensador agua maya m 700 ;comederos;accesorios;8490.0;6408;18;7.0;3.0;0.001;500
1608;coastal maslow  plato paw rosado 1596 ml;paseo;accesorios;15990.0;11143;34;8.0;0.0;0.001;500
806;afp chill out ice bandana, small;juguetes;accesorios;11990.0;9260;29;10.0;0.0;0.004;700
111;zeedog atlanta adjustable air mesh harness small;paseo;accesorios;19300.0;12954;47;11.0;0.0;0.004;500
582;jaula transporte pratiko metal 2;hogar-transporte;accesorios;29310.0;20741;61;9.0;3.0;0.001;800
1033;zeedog prisma leash large;paseo;accesorios;16840.0;11371;35;7.0;0.0;0.001;500
1340;dogit alfombrilla educadora  x-large 20u;higiene;accesorios;16990.0;13409;36;7.0;0.0;0.001;500
298;afp fetch dog n treat;juguetes;accesorios;34930.0;25804;74;8.0;0.0;0.001;800
879;dog arnés negro;paseo;accesorio;21990.0;14294;46;2.0;19.0;0.001;500
1572;parka t/0 cata pets;ropa;accesorios;15890.0;11578;39;10.0;0.0;0.004;500
1206;dogit cuerda anudada sabor menta 26 cm;juguetes;accesorios;6790.0;4456;17;8.0;1.0;0.004;500
887;puzzle soft-walk harness medium;paseo;accesorios;18899.6;13644;39;11.0;0.0;0.001;600
1273;zeedog mahalo h-harness small;paseo;accesorios;13850.0;10343;29;9.0;1.0;0.001;500
1170;zd skull 2.0 harness + leash set;paseo;accesorios;11900.0;7965;25;10.0;2.0;0.001;500
297;dogit alfombrilla educadora  medium 30un;higiene;accesorios;13490.0;10330;33;10.0;2.0;0.004;1250
1713;bravecto 1.000 mg perro 20 a 40 kg;ant. ext.;medicamentos;49650.0;33507;92;14.0;0.0;0.0002;800
1085;pro plan sensitive cat 3kg ar;adultos;alimento;36370.0;23966;109;7.0;3.0;0.015;2950
544;coastal maslow plato cobre martillado 2188 ml;paseo;accesorios;15990.0;11328;34;10.0;1.0;0.001;550
1452;zeus trailla dobl asa  s  azuldenim 1,2m;paseo;accesorios;6290.0;4120;13;7.0;1.0;0.001;500
1620;collar isabelino 15 cm nº(3);higiene;medicamentos;6450.0;5043;12;8.0;19.0;0.0002;500
1245;nm no more marking, 709 ml;entrenamiento;accesorios;15940.0;10480;34;9.0;1.0;0.001;500
65;ps dental solutions starter kit;higiene;accesorios;10990.0;8034;27;8.0;3.0;0.004;1100
1204;coastal sublime collar cubes s/m;paseo;accesorios;12490.0;9282;30;9.0;3.0;0.004;1350
462;pawise bola para golosinas gato;juguetes;accesorios;3990.0;2690;9;5.0;1.0;0.001;500
1319;zd cali dos air-leash;paseo;accesorios;37900.0;29637;79;10.0;1.0;0.001;1200
1714;zeedog phantom h-harness medium;paseo;accesorios;16840.0;12620;35;8.0;0.0;0.001;500
239;honey collar small;paseo;accesorios;9899.61;7663;21;7.0;2.0;0.001;500
188;zd candy adj. air mesh harness large;paseo;accesorios;34030.0;26228;71;13.0;1.0;0.001;850
1333;zd army green leash small;paseo;accesorios;13900.0;10381;29;9.0;2.0;0.001;500
29;manitol 500ml;medicamentos;medicamentos;7440.0;4906;14;6.0;2.0;0.0002;500
1336;tx bola para heno , ø 12 cm;enriquecimiento ambiental;accesorios;5880.0;4545;12;8.0;3.0;0.001;500
1289;jaula refugio peq. animales grande;hogar-transporte;accesorios;77330.0;59684;188;19.0;1.0;0.004;2550
759;zd neon coral collar extra small;paseo;accesorios;7900.0;5702;17;7.0;0.0;0.001;500
1160;viruta pino  800 gr;higiene;accesorios;1490.0;1004;3;5.0;5.0;0.004;500
1545;pink led h-harness medium;paseo;accesorios;16900.0;12391;36;8.0;1.0;0.001;500
398;coastal maslow  plato pup azul 384 ml;paseo;accesorios;6990.0;4729;17;9.0;1.0;0.004;500
836;big bone aluminum purple (my family);placas identificacion;accesorios;7130.0;5120;15;7.0;1.0;0.001;500
109;zd smash leash large;paseo;accesorios;16900.0;12456;36;9.0;2.0;0.001;600
637;pro plan perro reduce calor. optilife 15 kilo;adultos;alimento;48900.0;32863;147;9.0;0.0;0.015;1900
1259;coastal sublime collar pink s/m;paseo;accesorios;12490.0;9538;30;6.0;2.0;0.004;1350
1161;zeedog phantom h-harness small;paseo;accesorios;13850.0;10108;29;10.0;0.0;0.001;500
932;zeedog ella leash small;paseo;accesorios;13900.0;10234;34;9.0;1.0;0.004;500
